,PJME_MW,hour,day_of_week,quarter,week,month,year,dayofyear,hour_sin,hour_cos,month_sin,month_cos,is_holiday,days_to_holiday,ma_7d,ma_30d,ma_90d,roll_std_7d,roll_min_7d,roll_max_7d,ewma_7d,ewma_30d,lag_1h,lag_2h,lag_3h,lag_6h,lag_12h,lag_24h,lag_48h,lag_168h
2002-04-02 23:00:00,27388.0,23,1,2,14,4,2002,92,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,0,43,27008.059523809523,28854.348611111112,29955.51203703704,3841.8631437880317,19247.0,34714.0,27402.899763126767,28553.096430693327,29973.0,31730.0,32442.0,29553.0,31332.0,28381.0,24487.0,29090.0
2002-04-03 00:00:00,24853.0,0,2,2,14,4,2002,93,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,44,26998.494047619046,28853.068055555555,29952.457407407408,3845.234949950798,19247.0,34714.0,27372.723434568936,28542.810326370312,27388.0,29973.0,31730.0,29779.0,31192.0,26028.0,23014.0,26460.0
2002-04-03 01:00:00,23086.0,1,2,2,14,4,2002,93,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,44,26989.190476190477,28850.819444444445,29949.527777777777,3852.8369358849086,19247.0,34714.0,27321.992979721774,28527.640726646187,24853.0,27388.0,29973.0,31069.0,30837.0,24372.0,21734.0,24649.0
2002-04-03 02:00:00,22129.0,2,2,2,14,4,2002,93,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,44,26979.083333333332,28847.78888888889,29946.56111111111,3863.3946948071134,19247.0,34714.0,27260.537441499986,28509.85300285441,23086.0,24853.0,27388.0,32442.0,30629.0,23534.0,20971.0,23827.0
2002-04-03 03:00:00,21709.0,3,2,2,14,4,2002,93,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,0,44,26969.60119047619,28844.169444444444,29943.59398148148,3874.412787092835,19247.0,34714.0,27194.838773552994,28490.94727358324,22129.0,23086.0,24853.0,31730.0,30313.0,23243.0,20721.0,23302.0
2002-04-03 04:00:00,21557.0,4,2,2,14,4,2002,93,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,44,26959.184523809523,28839.766666666666,29940.562037037038,3886.652121588649,19247.0,34714.0,27128.118788066917,28471.671670082487,21709.0,22129.0,23086.0,29973.0,29855.0,23296.0,20771.0,23307.0
2002-04-03 05:00:00,21957.0,5,2,2,14,4,2002,93,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,0,44,26947.428571428572,28834.605555555554,29937.463425925926,3898.831080115432,19247.0,34714.0,27066.92211601857,28453.561714209893,21557.0,21709.0,22129.0,27388.0,29553.0,23924.0,21334.0,23932.0
2002-04-03 06:00:00,23644.0,6,2,2,14,4,2002,93,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0,44,26932.261904761905,28828.408333333333,29934.202777777777,3906.7352531468337,19247.0,34714.0,27026.414161982706,28440.191825931393,21957.0,21557.0,21709.0,24853.0,29779.0,25734.0,23015.0,26192.0
2002-04-03 07:00:00,26370.0,7,2,2,14,4,2002,93,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,44,26914.511904761905,28819.86111111111,29930.348148148147,3902.447406479162,19247.0,34714.0,27018.645947047975,28434.43702519886,23644.0,21957.0,21557.0,23086.0,31069.0,28545.0,25514.0,29352.0
2002-04-03 08:00:00,28967.0,8,2,2,14,4,2002,93,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0,44,26899.303571428572,28811.99722222222,29926.538425925926,3889.3404883396533,19247.0,34714.0,27041.70339146169,28435.917455965337,26370.0,23644.0,21957.0,22129.0,32442.0,30552.0,28033.0,31522.0
